"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
6.144843230E-1,2.097260207E-1,1.160620376E-1,9.923031807E0,9.925926437E0
6.195214060E-1,2.073305249E-1,1.016890332E-1,9.884703636E0,9.887400699E0
6.245585410E-1,1.857710183E-1,1.040845439E-1,9.891890526E0,9.894182262E0
6.295956250E-1,2.025395185E-1,8.012955636E-2,9.927823067E0,9.930212175E0
6.346327080E-1,2.264945209E-1,7.773404568E-2,9.913449287E0,9.916341015E0
6.396810410E-1,2.193080187E-1,5.377905443E-2,9.860748291E0,9.863333364E0
6.447181770E-1,1.857710183E-1,6.815206259E-2,9.920636177E0,9.922609422E0
6.497552600E-1,1.881665289E-1,4.180156067E-2,9.906263351E0,9.908138453E0
6.547923950E-1,2.097260207E-1,6.096558645E-2,9.891890526E0,9.894301389E0
6.598294790E-1,2.193080187E-1,2.263753675E-2,9.875122070E0,9.877582921E0
6.648665620E-1,2.025395185E-1,4.898803309E-2,9.908658981E0,9.910849857E0
6.698968750E-1,1.953530163E-1,5.138354376E-2,9.896680832E0,9.898742069E0
6.749340100E-1,1.905620247E-1,8.252506703E-2,9.925427437E0,9.927599613E0
6.799710410E-1,2.001440227E-1,7.054757327E-2,9.894286156E0,9.896561682E0
6.850081770E-1,2.121215165E-1,7.533853501E-2,9.891890526E0,9.894451456E0
6.900452600E-1,1.929575205E-1,7.773404568E-2,9.915844917E0,9.918026800E0
6.950823430E-1,2.217035294E-1,6.336104125E-2,9.884703636E0,9.887392632E0
7.001597390E-1,2.193080187E-1,8.971153945E-2,9.911054611E0,9.913886608E0
7.051968230E-1,1.881665289E-1,1.016890332E-1,9.903867722E0,9.906177020E0
7.102339060E-1,2.097260207E-1,8.971153945E-2,9.908658981E0,9.911284275E0
7.152710410E-1,2.001440227E-1,9.210705012E-2,9.899076462E0,9.901527970E0
7.203081250E-1,2.073305249E-1,9.210705012E-2,9.932613373E0,9.935203977E0
7.253452600E-1,2.049350291E-1,9.450256079E-2,9.891890526E0,9.894464476E0
7.303695310E-1,2.240990251E-1,1.136665866E-1,9.918240547E0,9.921423084E0
7.354066140E-1,2.336810231E-1,9.689807147E-2,9.911054611E0,9.914282605E0
7.404437500E-1,2.169125229E-1,7.533853501E-2,9.870330811E0,9.873001431E0
7.454808330E-1,1.833755225E-1,7.054757327E-2,9.901472092E0,9.903421284E0
7.505179160E-1,2.145170271E-1,9.450256079E-2,9.918240547E0,9.921010223E0
7.555550520E-1,2.312855273E-1,9.210705012E-2,9.899076462E0,9.902206396E0
