"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
2.054960833E0,-4.878309555E-3,5.680409819E-2,1.136065349E-1,1.271099848E-1
2.065034166E0,-1.849924214E-2,9.694438428E-2,3.276024386E-2,1.039887935E-1
2.075282031E0,-1.628215052E-2,7.665352523E-2,-1.361535955E-2,7.953772295E-2
2.085355312E0,1.069550961E-2,6.274969876E-2,-4.050981253E-2,7.545172981E-2
2.095428593E0,2.081778646E-2,4.575502127E-2,-9.148261510E-3,5.109396142E-2
2.105310052E0,2.119217254E-2,3.254451603E-2,1.759281009E-2,4.263520456E-2
2.115383385E0,1.894059405E-2,4.802619293E-2,5.619224533E-2,7.630746848E-2
2.125456666E0,1.956661791E-2,4.836287722E-2,2.853880264E-2,5.946666028E-2
2.135576041E0,2.916019224E-2,3.400265425E-2,1.583539881E-2,4.751060053E-2
2.145649375E0,-3.889273480E-2,3.407331184E-2,-1.149299927E-2,5.296908940E-2
2.155722708E0,-4.535385966E-2,3.240817785E-2,4.131244961E-3,5.589570433E-2
2.165776823E0,-1.843494363E-2,5.977440625E-2,1.760070771E-2,6.498162588E-2
2.175850104E0,-1.628682576E-2,8.567750454E-2,4.646704718E-2,9.881842921E-2
2.185923437E0,-1.660129800E-2,5.898298696E-2,5.942067876E-2,8.535463028E-2
2.196066250E0,-1.457885280E-2,7.577897608E-2,9.640860558E-2,1.234893331E-1
2.206139531E0,1.266651787E-2,7.606994361E-2,6.881376356E-2,1.033557500E-1
2.216212864E0,-1.254120935E-2,6.575991213E-2,9.202048182E-2,1.137955054E-1
2.226204531E0,-1.227496006E-2,6.611072272E-2,1.188342869E-1,1.365389690E-1
2.236277864E0,1.333111897E-2,6.884493679E-2,8.827371895E-2,1.127368330E-1
2.246351146E0,-1.340951677E-2,2.814849652E-2,1.289323270E-1,1.326487767E-1
2.256457187E0,1.258848421E-2,4.714498669E-2,1.087890342E-1,1.192315968E-1
2.266530521E0,-6.101304898E-4,7.409389317E-2,9.552199394E-2,1.208913917E-1
2.276603802E0,-5.128075718E-4,8.584377170E-2,5.692921206E-2,1.030065595E-1
2.286618177E0,3.998729214E-2,7.126324624E-2,3.614579560E-3,8.179547043E-2
2.296691458E0,1.066862140E-2,5.026077852E-2,-4.188688844E-2,6.629084977E-2
2.306764791E0,-1.683656871E-2,3.629377112E-2,-5.508492887E-2,6.808125481E-2
2.316862916E0,-1.439706702E-2,6.112363935E-2,1.594679616E-2,6.478946777E-2
2.326936250E0,1.302687544E-2,8.896370977E-2,4.245676100E-2,9.943247807E-2
2.337009531E0,4.690989479E-2,3.773278743E-2,6.575949490E-2,8.915499227E-2
2.347133958E0,6.426746957E-3,3.790403903E-2,6.555083394E-2,7.599296731E-2
2.357207291E0,-1.770604588E-2,5.122843385E-2,3.866136819E-2,6.657745779E-2
2.367280573E0,9.368937463E-3,7.830369473E-2,5.248165131E-2,9.472892547E-2
2.377324479E0,1.915014535E-2,7.723628730E-2,5.379388854E-2,9.605183281E-2
2.387397760E0,1.843264513E-2,4.958907142E-2,1.343039051E-2,5.458217475E-2
2.397471093E0,4.008579999E-3,8.528346568E-2,6.109370850E-3,8.559592657E-2
2.407532812E0,-3.664057329E-2,9.929535538E-2,1.925046183E-2,1.075763891E-1
2.417606093E0,-5.453798175E-2,4.787738621E-2,6.997054815E-2,1.008092911E-1
2.427679427E0,-2.641202323E-2,4.846512526E-2,1.237332597E-1,1.354857295E-1
2.437718958E0,1.357720234E-2,5.688972026E-2,1.543524265E-1,1.650619649E-1
2.447792239E0,2.819182165E-2,4.282711446E-2,1.276458651E-1,1.375587417E-1
2.457865521E0,1.688794233E-3,4.163749516E-2,3.374619037E-2,5.362218192E-2
2.467973333E0,-6.604644656E-2,4.062494636E-2,-3.312477842E-2,8.431945395E-2
2.478046614E0,-3.412957862E-2,7.130647451E-2,-6.159956753E-2,1.002194999E-1
2.488137083E0,-8.097382262E-3,7.129567116E-2,-7.103214040E-3,7.210475696E-2
2.498210364E0,-8.468260989E-3,5.735858902E-2,3.414688632E-2,6.728840185E-2
2.508283646E0,1.775741205E-2,4.441493750E-2,1.014243662E-1,1.121379259E-1
2.518356927E0,3.840908408E-2,5.025329813E-2,1.079439968E-1,1.251101841E-1
2.528430208E0,5.260343105E-2,9.148760140E-2,8.024774492E-2,1.325775348E-1
2.538462604E0,1.164185070E-2,9.108939767E-2,6.711329520E-2,1.137409577E-1
2.548535885E0,-1.399754547E-2,9.104368091E-2,1.080250517E-1,1.419658230E-1
2.558609166E0,-2.260152623E-2,8.935444057E-2,5.559203401E-2,1.076360501E-1
2.568709843E0,-8.648877963E-3,6.163572893E-2,6.979222596E-2,9.351321283E-2
2.578783125E0,-1.951203495E-2,3.464526311E-2,4.224560782E-2,5.801469765E-2
2.588856458E0,-7.052549161E-3,3.382724524E-2,-3.847930953E-2,5.171729142E-2
2.598898125E0,3.924611956E-2,4.437419772E-2,6.142207887E-3,5.955714937E-2
2.608971458E0,9.235680848E-2,3.045125306E-2,4.737651348E-2,1.081739013E-1
2.619044791E0,7.950638235E-2,4.477905482E-2,4.656140134E-2,1.024421431E-1
2.629172604E0,5.288148299E-2,3.124516457E-2,4.645375162E-2,7.701079530E-2
2.639245885E0,2.318404056E-2,3.096085042E-2,1.957052201E-2,4.334834861E-2
2.649319218E0,-3.093945794E-3,5.815748498E-2,3.323949873E-2,6.705766053E-2
2.659375521E0,-3.738496080E-2,4.420461133E-2,3.361525759E-2,6.694526496E-2
2.669448854E0,-7.817936689E-2,5.754480138E-2,2.033741400E-2,9.918179259E-2
2.679522135E0,-2.087912150E-2,6.649978459E-2,-1.219130820E-3,6.971115653E-2
2.689580364E0,1.916914247E-2,5.267991871E-2,3.988840058E-2,6.880199386E-2
2.699653698E0,2.770882472E-2,6.535339355E-2,4.106513038E-2,8.200725547E-2
2.709726979E0,1.414868329E-2,7.910343260E-2,4.447562242E-5,8.035882195E-2
2.719795625E0,9.158743778E-4,6.603091955E-2,5.385540426E-2,8.521341286E-2
2.729868958E0,1.505936868E-2,3.953342512E-2,8.018663526E-2,9.066185946E-2
2.739942291E0,-2.168108709E-2,3.152199090E-2,8.694526553E-2,9.499044502E-2
2.750014271E0,-4.868563265E-2,4.587223753E-2,9.967610240E-2,1.200411529E-1
2.760087604E0,-6.419109181E-3,8.169215918E-2,1.709509939E-1,1.895759904E-1
2.770160885E0,2.103961259E-2,5.479063839E-2,1.569191366E-1,1.675359508E-1
2.780218698E0,-4.955466371E-3,5.860556662E-2,9.780023247E-2,1.141229800E-1
2.790291979E0,8.901027963E-3,7.204052806E-2,8.440350741E-2,1.113239329E-1
2.800365312E0,-4.172791261E-3,7.041530311E-2,4.551476985E-2,8.394832562E-2
2.810462864E0,9.065278806E-3,8.325836807E-2,-8.022653870E-3,8.413381074E-2
2.820536146E0,-1.594458893E-2,4.981020093E-2,-2.771995030E-2,5.919190551E-2
2.830609479E0,-1.628478058E-2,4.929311946E-2,-9.519113600E-2,1.084267406E-1
2.840658489E0,8.887291886E-3,5.195584148E-2,-9.544052929E-2,1.090288405E-1
2.850731771E0,-5.063018296E-3,3.873203322E-2,-4.144296795E-2,5.695019003E-2
2.860805052E0,7.532954682E-3,4.112374038E-2,5.098028854E-2,6.593100369E-2
2.870908281E0,8.002618328E-3,5.580401793E-2,1.041660607E-1,1.184428069E-1
2.880981562E0,-1.607289165E-2,6.325514615E-2,1.359366179E-1,1.507922924E-1
2.891054896E0,-1.561053377E-2,6.364420056E-2,1.490835398E-1,1.628501608E-1
2.901102396E0,-1.318389177E-2,5.449385941E-2,1.027802452E-1,1.170776432E-1
2.911175729E0,-2.672357485E-2,6.793547422E-2,6.213660166E-2,9.586623689E-2
2.921249010E0,-1.136661321E-2,7.917825133E-2,3.778349608E-2,8.846461414E-2
2.931337916E0,2.961659431E-2,3.819416836E-2,3.793147206E-2,6.143886171E-2
2.941411250E0,3.772694618E-2,5.157343298E-2,3.823822737E-2,7.446679454E-2
2.951484583E0,1.082176622E-2,6.539163738E-2,3.799672797E-2,7.639979189E-2
2.961537968E0,-1.390577573E-2,3.788740933E-2,2.469020523E-2,4.731207688E-2
2.971611250E0,-1.401566621E-2,3.820247948E-2,1.068661828E-2,4.207222538E-2
2.981684531E0,2.275956795E-2,5.366918817E-2,6.293342263E-2,8.578458705E-2
2.991754791E0,4.949055985E-2,5.388782918E-2,8.991017193E-2,1.159183017E-1
3.001828125E0,7.432708982E-3,5.696703866E-2,8.617130667E-2,1.035663205E-1
3.011901406E0,-1.996668428E-2,5.702273548E-2,4.524542391E-2,7.548118459E-2
3.021981093E0,6.071357522E-3,5.272813514E-2,-1.763437688E-2,5.592932027E-2
3.032054427E0,1.919924468E-2,5.234406516E-2,-1.716509648E-2,5.833654678E-2
3.042127708E0,2.852218598E-2,6.100475416E-2,-2.473385073E-2,7.174160923E-2
3.052209166E0,2.819573134E-2,6.094490364E-2,-1.103743538E-2,6.805222646E-2
3.062282500E0,1.315762661E-2,4.564944655E-2,4.630452488E-3,4.773296763E-2
